team,synonym
bayern,fc bayern muenchen
bayern,bayern muenchen
bayern,fcb
bayern,branchenprimus
schalke,fc schalke 04
schalke,schalke 04
schalke,ruhrgebietsklub
schalke,koenigsblaue
schalke,blaue
schalke,gelsenkirchener
schalke,ruhrpottverein
schalke,revierklub
schalke,knappen
hoffenheim,tsg hoffenheim
hoffenheim,tsg 1899 hoffenheim
hoffenheim,kraichgauer
dortmund,borussia dortmund
dortmund,bvb
dortmund,ruhrgebietsverein
dortmund,schwarz-gelb
dortmund,revierklub
leverkusen,bayer 04 leverkusen
leverkusen,bayer leverkusen
leverkusen,werkself
leverkusen,rheinlaender
leipzig,rb leipzig
leipzig,sachsen
leipzig,red-bull-klub
leipzig,retortenclub
leipzig,projekt
leipzig,brauseclub
leipzig,ostdeutsche
stuttgart,vfb stuttgart
stuttgart,schwaben
frankfurt,eintracht frankfurt
frankfurt,rhein-main-klub
frankfurt,hessen
frankfurt,adler
gladbach,borussia moenchengladbach
gladbach,fohlen
berlin,hertha bsc
berlin,hertha berlin
berlin,hertha
berlin,hauptstadtklub
berlin,alte dame
bremen,sv werder bremen
bremen,werder bremen
bremen,norddeutsche
bremen,hanseaten
bremen,gruen-weisse
augsburg,fc augsburg
augsburg,fuggerstaedter
augsburg,bayerische schwaben
augsburg,fca
augsburg,familienverein
hannover,hannover 96
hannover,niedersachsen
mainz,1. fsv mainz 05
mainz,fsv mainz 05
mainz,mainz 05
mainz,rheinhessen
mainz,karnevalsverein
freiburg,sc freiburg
freiburg,breisgauer
freiburg,schwarzwaelder
wolfsburg,vfl wolfsburg
wolfsburg,vw-staedter
wolfsburg,niedersachsen
wolfsburg,woelfe
wolfsburg,autostaedter
hamburg,hamburger sv
hamburg,hsv
hamburg,hanseaten
hamburg,rote
hamburg,rothosen
koeln,1. fc koeln
koeln,fc koeln
koeln,rheinlaender
koeln,geissboecke
frankfurt,eintracht
frankfurt,eintracht frankfurt
freiburg,sc freiburg
duesseldorf,fortuna duesseldorf
duesseldorf,fortuna
nuernberg,1. fc nuernberg
nuernberg,nuernberg
union_berlin,1. fc union berlin
union_berlin,union
union_berlin,union berlin
paderborn,sc paderborn 07
paderborn,sc paderborn
paderborn,paderborn 07
bochum,vfl bochum
bielefeld,arminia bielefeld
bielefeld,arminia
fuerth,spvgg greuther fuerth
fuerth,greuther fuerth